length_url,length_hostname,ip,nb_hyphens,nb_dots,nb_at,nb_and,nb_underscore,nb_percent,nb_slash,nb_colon,nb_comma,port,tld_in_path,tld_in_subdomain,shortening_service,path_extension,nb_redirection,nb_external_redirection,login_form,iframe,domain_with_copyright,whois_registered_domain,domain_registration_length,domain_age,dns_record,status,has_https
37,19,0,0,3,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,45,-1,1,0,0
77,23,1,0,1,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,77,5767,0,1,0
126,50,1,1,4,0,2,2,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,14,4004,0,1,1
18,11,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,62,-1,0,0,0
55,15,0,2,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,1,0,1,0,224,8175,0,0,0
32,24,0,1,3,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,1,0,-1,0,1,0
19,12,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,0,170,7529,0,0,0
81,27,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,76,5767,0,1,0
42,34,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,371,7298,0,0,0
104,10,0,10,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,128,9368,0,0,1
56,22,0,0,3,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,1
43,16,0,3,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,489,7911,0,0,1
83,14,0,9,1,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,320,1505,0,0,1
31,10,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,66,1761,0,1,0
25,16,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,880,2041,0,0,1
51,23,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,490,3892,0,1,0
31,22,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,3069,8301,0,0,1
50,21,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,1,0,1337,2316,0,1,0
34,23,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,352,2935,1,1,0
27,19,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,451,3932,0,0,0
63,14,0,2,3,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,0,1,0,70,8759,0,0,0
66,16,0,4,2,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,926,5647,0,0,1
40,11,0,0,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,277,1184,0,1,0
48,16,0,3,1,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,541,3476,0,0,0
126,50,1,1,4,0,2,2,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,25,3993,0,1,0
41,32,0,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,373,7296,0,1,1
36,27,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,315,6989,0,0,1
72,24,0,7,2,0,0,0,0,5,1,0,0,1,0,0,0,1,0,1,0,1,0,634,4845,0,0,0
68,42,1,0,4,0,0,0,0,4,1,0,0,0,1,0,0,1,0,0,0,1,0,25,3993,0,1,0
163,14,1,9,4,1,2,0,0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,-1,0,1,0
26,18,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,290,1170,0,0,0
64,17,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,224,1237,0,1,0
36,28,1,0,4,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,217,5627,0,1,0
61,14,0,0,2,0,0,1,0,6,1,0,0,1,0,1,0,0,0,0,0,0,0,251,3767,0,1,0
66,17,1,0,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,911,9316,0,0,1
35,26,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,125,7849,0,0,1
113,24,0,0,5,0,0,2,0,10,1,0,0,1,0,0,0,0,0,1,0,1,0,97,3920,0,1,0
41,34,0,4,2,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1049,5159,0,0,0
23,12,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,78,-1,0,0,0
31,24,0,1,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,248,5230,0,0,0
84,30,0,2,2,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,162,3125,0,1,0
29,17,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,88,5026,0,1,0
98,26,1,2,2,0,0,0,0,9,1,0,0,0,0,0,0,2,0,0,0,1,0,257,2300,0,1,0
15,8,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2580,0,0,0
65,22,0,0,2,0,0,4,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,3305,5825,0,0,0
131,27,0,1,2,0,0,4,0,7,3,0,0,0,0,1,0,1,0,0,0,0,0,381,8019,0,1,1
50,23,0,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,197,7839,0,0,1
51,32,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,250,2306,0,1,0
45,11,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1
159,14,1,0,2,0,1,0,0,8,1,0,0,0,0,0,0,1,0,0,0,1,0,325,1500,0,1,0
44,22,1,1,2,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1278,2739,0,1,1
103,19,0,1,3,1,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,231,134,0,1,1
46,20,0,0,4,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,517,7802,0,1,0
45,16,0,0,2,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,902,7133,0,0,1
51,26,0,0,3,0,0,0,0,5,1,0,0,0,0,0,0,4,0,0,0,1,0,137,1690,0,1,0
38,19,0,0,3,0,0,0,0,4,1,0,0,0,0,0,0,1,0,1,0,1,0,237,1588,0,1,0
81,27,1,0,2,0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,77,5767,0,1,0
112,31,0,10,2,0,0,0,0,4,1,0,0,1,0,1,0,1,0,0,0,0,0,133,7615,0,0,0
39,16,0,0,2,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,1,0,2974,8348,0,1,1
99,15,0,2,2,0,0,2,0,7,1,0,0,0,0,0,0,0,0,0,0,1,0,2974,8348,0,1,1
45,27,0,1,2,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,315,6989,0,0,1
